"日期","類型","科目","帳戶","金額","摘要",
"2014-01-01","消費","食-晚餐","現金","168","豆腐煲",
"2014-01-02","消費","住-房租","現金","8000","",
"2014-01-02","消費","食-午餐","現金","95","",
"2014-01-03","消費","食-午餐","現金","90","池上",
"2014-01-04","消費","食-午餐","現金","40","蚵仔麵線",
"2014-01-04","消費","食-早餐","現金","60","果子咖啡",
"2014-01-04","消費","食-點心","現金","68","麵包",
"2014-01-05","消費","食-宵夜","現金","75","mos ",
"2014-01-05","消費","食-食材","現金","118","全聯  蛋",
"2014-01-07","消費","食-午餐","現金","65","65",
"2014-01-07","消費","食-晚餐","現金","130","拉麵",
"2014-01-07","消費","食-食材","現金","220","饅頭",
"2014-01-08","消費","音樂-表演","現金","50","路上街藝",
"2014-01-08","消費","音樂-表演","現金","250","Either、石哲安按小馬",
"2014-01-08","消費","食-午餐","現金","75","炒飯",
"2014-01-08","消費","食-晚餐","現金","104","和文娟吃胡須張",
"2014-01-10","消費","食-午餐","現金","130","樂山娘",
"2014-01-10","消費","食-晚餐","現金","115","和郁翔",
"2014-01-11","消費","音樂-表演","現金","500","parkside時鐘魚和啟彬老師",
"2014-01-11","消費","食-午餐","現金","75","伯朗咖啡",
"2014-01-11","消費","食-早餐","現金","99","tutty",
"2014-01-11","消費","食-晚餐","現金","137","茶館",
"2014-01-12","消費","樂-門票","現金","410","阿卡貝拉劇",
"2014-01-12","消費","食-午餐","現金","125","甘泉魚麵",
"2014-01-12","消費","食-晚餐","現金","290","Mozilla+Wiki尾牙",
"2014-01-12","消費","食-飲料","現金","150","",
"2014-01-12","消費","食-飲料","現金","150","下午茶with波克、啥喵",
"2014-01-14","消費","食-早餐","現金","20","飯糰",
"2014-01-15","消費","食-午餐","現金","65","水餃",
"2014-01-15","消費","食-早餐","現金","64","麵包",
"2014-01-15","消費","食-晚餐","現金","70","拖拖魚羹麵",
"2014-01-16","消費","食-午餐","現金","130","",
"2014-01-16","消費","食-晚餐","現金","80","",
"2014-01-17","消費","食-晚餐","現金","160","",
"2014-01-18","收入","其他-中獎","現金","3000","尾牙",
"2014-01-18","消費","食-午餐","現金","75","",
"2014-01-18","消費","食-晚餐","現金","100","",
"2014-01-18","消費","食-飲料","現金","100","",
"2014-01-18","消費","食-飲料","現金","100","",
"2014-01-19","消費","樂-門票","現金","210","電影",
"2014-01-19","消費","食-午餐","現金","60","飯",
"2014-01-19","消費","食-晚餐","現金","80","炒麵",
"2014-01-19","消費","食-飲料","現金","95","柳橙汁",
"2014-01-20","消費","食-晚餐","現金","210","Rebirth雞腿飯",
"2014-01-21","消費","食-午餐","現金","75","",
"2014-01-21","消費","食-早餐","現金","25","",
"2014-01-21","消費","食-食材","現金","189","肉鬆",
"2014-01-22","消費","食-午餐","現金","85","",
"2014-01-22","消費","食-零食","現金","136","巧克力",
"2014-01-23","消費","食-午餐","現金","150","山海屋",
"2014-01-23","消費","食-食材","現金","76","蛋",
"2014-01-24","消費","食-午餐","現金","150","大埔",
"2014-01-24","消費","食-晚餐","現金","160","山海屋",
"2014-01-25","消費","育-書籍","現金","512","",
"2014-01-25","消費","食-午餐","現金","60","蛋包飯",
"2014-01-25","消費","食-晚餐","現金","110","關東煮",
"2014-01-25","消費","食-飲料","現金","240","下午茶極簡",
"2014-01-26","消費","生活-傢俱","現金","2650","寢具，棉被",
"2014-01-26","消費","生活-日用品","現金","120","洗被",
"2014-01-26","消費","食-晚餐","現金","60","",
"2014-01-26","消費","食-食材","現金","93","海苔醬",
"2014-01-27","消費","食-零食","現金","72","巧克力",
"2014-01-27","消費","食-食材","現金","191","全聯",
"2014-01-27","消費","食-食材","現金","191","水",
"2014-01-28","消費","住-房租","現金","8000","",
"2014-01-28","消費","食-午餐","現金","130","日本",
"2014-01-28","消費","食-晚餐","現金","158","伯朗",
"2014-01-29","消費","其它-孝親費用","現金","4000","",
"2014-01-29","消費","其它-禮物","現金","95","貓給媽咪",
"2014-01-29","消費","行-車票","現金","158","高雄屏東",
"2014-01-29","消費","行-車票","現金","240","高捷",
"2014-01-29","消費","食-午餐","現金","27","丸子",
"2014-01-29","消費","食-晚餐","現金","800","旗津",
"2014-02-03","消費","生活-日用品","現金","18","電鍋夾子",
"2014-02-03","消費","食-午餐","現金","150","拉麵",
"2014-02-03","消費","食-早餐","現金","80","",
"2014-02-03","消費","食-晚餐","現金","200","火鍋",
"2014-02-04","消費","生活-日用品","現金","99","牙線",
"2014-02-04","消費","食-午餐","現金","65","摩斯",
"2014-02-04","消費","食-早餐","現金","40","萊爾富麵包",
"2014-02-04","消費","食-食材","現金","26","牛肉飯的調理包",
"2014-02-07","消費","生活-文具","現金","25","紅包袋",
"2014-02-07","消費","食-午餐","現金","76","",
"2014-02-07","消費","食-午餐","現金","110","韓式",
"2014-02-07","消費","食-晚餐","現金","150","六號",
"2014-02-07","消費","食-飲料","現金","13","",
"2014-02-08","消費","食-午餐","現金","98","伯朗",
"2014-02-08","消費","食-早餐","現金","80","伯朗",
"2014-02-08","消費","食-晚餐","現金","75","牛肉麵",
"2014-02-09","消費","住-通訊","上海銀行","531","",
"2014-02-11","轉帳","轉帳-金額移轉","玉山銀行->現金","12000","",
"2014-02-11","消費","食-午餐","現金","150","韓式豆腐鍋",
"2014-02-11","消費","食-食材","現金","61","",
