Date, Sleep Time, Wake Time, Hours,Note
14/02/08,01:35,07:00,5.41,
14/02/08,00:23,01:15,0.86,
14/02/07,00:21,07:20,6.97,
14/02/06,06:11,08:44,2.55,
14/02/06,00:41,05:35,4.89,
14/02/05,00:20,07:21,7.02,
14/02/04,00:23,06:41,6.29,
14/02/03,00:13,05:15,5.02,
14/02/02,01:28,06:41,5.21,
14/02/01,01:19,07:47,6.47,
14/01/31,02:10,08:10,5.99,
14/01/30,01:53,07:35,5.69,
14/01/29,01:16,07:25,6.13,
14/01/28,02:14,07:50,5.59,
14/01/27,01:10,08:00,6.83,
14/01/26,00:30,06:22,5.87,
14/01/25,02:26,07:29,5.04,
14/01/25,23:43,01:30,1.78,
14/01/24,00:22,07:16,6.89,
14/01/23,01:19,07:40,6.35,
